date,time,white,black,white_elo,black_elo,result,time_control,eco,opening,termination,moves_san
2025.10.06,16:17:50,RhysLWells,macbeast08,888,907,0-1,300,B01,,macbeast08 won - game abandoned,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Bg4 f3 Bf5 g4 Bg6 d3 h5 Nh3 Nc6 Bf4 Qa5 Nf2 e5 Bd2 Bb4 a3 Bxc3 Bxc3 Qb6 b4 O-O-O Ne4 hxg4 fxg4 Bxe4 Rf1 Nf6 Qb1 Bg2 Rg1 Qxg1+
2025.10.05,16:27:05,Hightower210,RhysLWells,897,896,1/2-1/2,300,A21,,Game drawn by repetition,c4 e5 Nc3 c6 g3 Bc5 Bg2 Ne7 a3 a6 h3 b5 cxb5 axb5 Nxb5 Bb7 Nc3 O-O e3 d6 Nge2 Na6 d4 exd4 exd4 Ba7 Nb5 Qd7 Nxa7 Rxa7 O-O c5 Bxb7 Rxb7 dxc5 Nxc5 Kh2 Nb3 Rb1 Ng6 Nf4 Nxc1 Qxc1 Ne5 Kg2 Re8 Re1 Rc7 Qd2 Nc4 Rxe8+ Qxe8 Qd3 Ne5 Qxd6 Rd7 Qb4 Qa8+ Kh2 Nf3+ Kg2 Nh4+ Kf1 Qh1+ Ke2 Qf3+ Ke1 Qh1+ Ke2 Qf3+ Kf1 Qh1+ Ke2
2025.11.14,18:13:12,Mesange33,RhysLWells,822,845,0-1,300,C30,,RhysLWells won by resignation,e4 e5 f4 Nc6 Nf3 d6 Bc4 h6 O-O Qe7 d4 exd4 Nxd4 Nxd4 Qxd4 c5 Qf2 Nf6 e5 Ne4 exd6 Nxf2 dxe7 Bxe7 Kxf2 O-O c3 Bd7 Nd2 b5 Bd5 Rad8 c4 b4 b3 Rfe8 Bb2 Bd6 g3 a5 Ne4 Bb8 Nxc5 Ba7 Bd4 Bh3 Rfe1 Be6 Rad1 Bxd5 cxd5 Rxe1 Kxe1 Rxd5 h4 Bxc5 Bxc5 Rxc5 Rd3 f6 g4 Kh7 g5 hxg5 fxg5 f5 Rd7 Kg6 a4 bxa3 Ra7 Rb5 Ra6+ Kh5 Re6 a2
2025.11.14,18:06:30,RhysLWells,Babai124,837,808,1-0,300,B00,,RhysLWells won by resignation,d4 b6 e4 Bb7 Nc3 g6 Bd3 Bg7 Nge2 e6 Bf4 Ne7 Qd2 O-O f3 f5 e5 d6 O-O-O dxe5 Bxe5 Bxe5 dxe5 Nbc6 f4 Nb4 Nd4 c5 Nb3 Nxd3+ cxd3 Ba6 Ne2 c4 dxc4 Qxd2+ Nxd2 Nc6 b3 Bb7 Rhg1 Nb4 Kb2 Nd3+ Kc3 Nc5 Nd4 Ne4+ Nxe4 Bxe4 Nxe6 Rf7 Rd4 Re8 Ng5 Rc7 Nxe4 fxe4 Rxe4 b5 e6 bxc4 bxc4 Ree7 Rd1 Kg7 a4 Rc6 Rd7 Rc7 Rxc7 Rxc7 e7
2025.11.13,21:12:29,RememberMe000,RhysLWells,844,829,1-0,300,C00,,RememberMe000 won by checkmate,e4 e6 Bc4 c6 d4 b5 Bb3 Na6 Nf3 Bb7 Bg5 f6 Bh4 c5 e5 c4 exf6 Nxf6 Bxc4 bxc4 Ne5 Bxg2 Rg1 Be4 Nxc4 Be7 Nc3 Bg6 Qf3 Bh5 Qb7 Nb4 Bxf6 gxf6 Rg7 Nxc2+ Kf1 Nxa1 Ne4 Bf3 Ned6+ Kf8 Rf7+ Kg8 Qxf3 Bxd6 Nxd6 Qb8 Qg3#
2025.11.13,20:15:14,RhysLWells,Luxfalcon,837,818,1-0,300,D02,,RhysLWells won by checkmate,d4 d5 Nf3 Nc6 Bf4 e6 c3 Bd6 Bg3 Bd7 Ne5 Bxe5 dxe5 Nge7 e3 O-O Nd2 a5 Be2 b6 O-O f6 e4 Nxe5 exd5 Nxd5 Bxe5 fxe5 c4 Nf4 Bf3 Rb8 Ne4 Bc6 Qc2 Bxe4 Qxe4 Qg5 Rad1 h5 Rd2 h4 h3 Nxh3+ Kh1 Qxd2 gxh3 Qxb2 Bg4 Rxf2 Bxe6+ Kh8 Qxh4#
2025.11.12,19:41:59,Ragavano,RhysLWells,833,829,1-0,300,C10,,Ragavano won on time,e4 e6 d4 d5 exd5 Qxd5 Nc3 Qd6 Nb5 Qd5 c4 Qd8 Qa4 c6 Nc3 Bd7 Qb3 Qc7 d5 exd5 cxd5 c5 Bb5 a6 Bxd7+ Nxd7 Nf3 Bd6 O-O Ne7 Ne4 c4 Qc3 f6 Nfg5 Nxd5 Qe1 Bb4 Bd2 Bxd2 Nxd2+ Ne5 Ne6 Qd7 Nd4 O-O Nf5 Qxf5 f4 Nxf4 Nf3 Ned3 Qe7 Rae8 Qxb7 Qc5+ Kh1 Nf2+ Rxf2 Qxf2 Rg1 Ne2 Rd1 Ng3+ hxg3 Qxg3 Qxa6 Rf7 Qxc4 Re1+ Nxe1
2025.11.12,10:57:09,RhysLWells,wacr59,837,836,0-1,300,A46,,wacr59 won by checkmate,d4 Nf6 Nf3 e6 Nc3 Bb4 Bd2 d5 a3 Ba5 b4 Bb6 Na4 Qd6 g3 Bd7 Nc5 Bxc5 dxc5 Qe7 Bf4 c6 e3 b6 Bxb8 Rxb8 Rb1 O-O Ne5 Ne4 Nxd7 Qxd7 f3 Nc3 Qc1 Nxb1 Qxb1 bxc5 c3 cxb4 cxb4 a5 Bd3 g6 O-O axb4 axb4 Qd6 b5 cxb5 Bxb5 Qb6 Bd3 Qxe3+ Kg2 Rxb1 Bxb1 Rb8 Kh3 Qe2 Rc1 Qxf3 Ba2 Qf5+ g4 Qf3+ Kh4 Qf2+ Kg5 Qxa2 Rc7 Qd2+ Kf6 Qf4+ Ke7 Qxc7+ Kf6 Qd8+ Ke5 Kg7 g5 Qc7+ Kd4 Qc4+ Ke5 Qe4+ Kd6 Rb6+ Kc5 Qb4#
2025.11.12,10:55:41,FlowerVillain,RhysLWells,865,845,1-0,300,C10,,FlowerVillain won by resignation,d4 e6 e4 d5 Nc3 c6 Nf3 h6 Ne5 f6 Qh5+ g6 Qxg6+
2025.11.11,21:10:46,Chrisbo750,RhysLWells,860,853,0-1,300,A00,,RhysLWells won by checkmate,g4 d5 Bg2 c6 c4 Na6 cxd5 cxd5 h3 g5 Nc3 e6 d3 Bb4 Bd2 Qe7 a3 Bc5 b4 Bd6 b5 Nc7 a4 b6 Nf3 h6 Nd4 Nf6 Nc6 Qd7 h4 Nxg4 hxg5 h5 f3 Bg3+ Kf1 Nf2 Qc2 Nxh1 Bxh1 Bb7 Nd4 e5 Nb3 Qh3+ Kg1 Qh2+ Kf1 Qxh1#
